,Actual,Susceptible,Infectious,Recovered,Date
2020-07-18,,3857.3681166109313,4.528440390762301e-06,6142.63187886063,2020-07-18
2020-07-19,,3857.3681153253115,3.6667704279519386e-06,6142.63188100792,2020-07-19
2020-07-20,,3857.368114366371,3.0240533282561026e-06,6142.631882609578,2020-07-20
2020-07-21,,3857.3681136708306,2.5578762070534286e-06,6142.631883771295,2020-07-21
2020-07-22,,3857.3681131556327,2.2125715856196346e-06,6142.631884631798,2020-07-22
2020-07-23,,3857.368112717945,1.919217391127532e-06,6142.631885362839,2020-07-23
2020-07-24,,3857.368112241354,1.599788317822247e-06,6142.63188615886,2020-07-24
2020-07-25,,3857.3681117520673,1.271850160807806e-06,6142.631886976085,2020-07-25
2020-07-26,,3857.368111309634,9.753153724562959e-07,6142.6318877150525,2020-07-26
2020-07-27,,3857.368110936568,7.252726045680209e-07,6142.631888338162,2020-07-27
2020-07-28,,3857.368110647059,5.312329710062591e-07,6142.63188882171,2020-07-28
2020-07-29,,3857.368110446976,3.9713004769726357e-07,6142.631889155896,2020-07-29
2020-07-30,,3857.3681103338668,3.21319872630261e-07,6142.631889344816,2020-07-30
2020-07-31,,3857.368110296956,2.965809458574526e-07,6142.631889406465,2020-07-31
2020-08-01,,3857.3681103171475,3.1011422949401254e-07,6142.63188937274,2020-08-01
2020-08-02,,3857.3681103670237,3.435431477180907e-07,6142.631889289435,2020-08-02
2020-08-03,,3857.368110410845,3.729135867708112e-07,6142.6318892162435,2020-08-03
2020-08-04,,3857.368110404549,3.68693894956271e-07,6142.631889226759,2020-08-04
2020-08-05,,3857.368110308903,3.0458835730400227e-07,6142.631889386511,2020-08-05
2020-08-06,,3857.3681101699913,2.1148463156873972e-07,6142.631889618526,2020-08-06
2020-08-07,,3857.368110018593,1.1001198606765778e-07,6142.631889871397,2020-08-07
2020-08-08,,3857.3681098739594,1.3073156588885744e-08,6142.63189011297,2020-08-08
2020-08-09,,3857.368109751407,-6.906617663223002e-08,6142.631890317662,2020-08-09
2020-08-10,,3857.3681096623172,-1.2877738891312552e-07,6142.631890466462,2020-08-10
2020-08-11,,3857.3681096141377,-1.6106891112401983e-07,6142.631890546933,2020-08-11
2020-08-12,,3857.368109610382,-1.6358622968791466e-07,6142.631890553206,2020-08-12
2020-08-13,,3857.368109650628,-1.3661188658059399e-07,6142.631890485986,2020-08-13
